Unnamed: 0,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序,lat,lon,lat_lon,配發公司,配發公司地址,接近險勿設施(加油站)
80,8686187,誠興工程行,基隆市中正區正義里正義路二巷四六號四樓,1200000,2005-07-21,2019-03-19,核准設立 - 獨資 (核准文號: 1080000584),,室內裝潢業,0.13,6,25.133776,121.749253,"(25.133776, 121.749253)",11,基隆通訊處,False
81,53391738,黑晶室內裝修設計有限公司,基隆市信義區信綠里正信路137之12號,1000000,2011-04-27,2016-04-13,核准設立,,室內裝潢業,-0.005,7,25.130971,121.76078899999999,"(25.130971, 121.76078899999999)",11,基隆通訊處,False
82,37754472,勝祥工程行,基隆市仁愛區愛五路6巷19弄26號1樓,50000,2013-08-30,2013-08-30,核准設立 - 獨資,,室內裝潢業,-0.644,8,25.126947,121.74560100000001,"(25.126947, 121.74560100000001)",11,基隆通訊處,False
83,42784222,辰信玻璃工程有限公司,基隆市中正區觀海街182號2樓,1000000,2016-03-21,,解散 (核准解散日期: 2019-11-14),溫政欣,室內裝潢業,-0.005,9,25.136414000000002,121.795227,"(25.136414000000002, 121.795227)",11,基隆通訊處,False
84,50585470,鑫昱工程行,基隆市中正區中正路760巷8號4樓,200000,2017-01-20,2019-02-27,核准設立 - 獨資 (核准文號: 1080000414),,室內裝潢業,-0.5429999999999999,10,25.151779,121.769277,"(25.151779, 121.769277)",11,基隆通訊處,True
85,50585696,石再工程行,基隆市中正區祥豐街68巷155號1樓,200000,2017-02-14,2017-02-14,核准設立 - 獨資 (核准文號: 1060000267),,室內裝潢業,-0.5429999999999999,11,25.13992,121.76539299999999,"(25.13992, 121.76539299999999)",11,基隆通訊處,False
86,57120455,文京工程有限公司,基隆市信義區東明路77巷1弄10-1號4樓,420000,2017-08-25,,核准設立,陳文彥,室內裝潢業,-0.395,12,25.127047,121.762786,"(25.127047, 121.762786)",11,基隆通訊處,False
87,72827276,金百力工程行,基隆市中正區調和街9號1樓,500000,2018-11-06,,核准設立 - 獨資 (核准文號: 1070002279),游基龍,室內裝潢業,-0.341,13,25.138299,121.7962,"(25.138299, 121.7962)",11,基隆通訊處,False
88,82214418,致佳石材工程行,基隆市信義區義七路66號,245000,2018-11-21,,核准設立 - 獨資 (核准文號: 1070002423),洪志桐,室內裝潢業,-0.513,14,25.131503,121.75436699999999,"(25.131503, 121.75436699999999)",11,基隆通訊處,False
89,765407,和平船舶工程有限公司,基隆市中正區正船里中船路5巷20號2樓,6000000,1976-10-06,2018-10-29,核准設立,,五金零售業,2.029,1,25.137632,121.75016399999998,"(25.137632, 121.75016399999998)",11,基隆通訊處,False
90,22298645,良星五金有限公司,基隆市中正區信六路40號,1000000,1986-11-13,2017-10-05,,,五金零售業,-0.469,2,25.135439,121.74743000000001,"(25.135439, 121.74743000000001)",11,基隆通訊處,False
91,944681,新嘉村五金行,基隆市中正區中正路七七二號一樓,200000,1987-11-25,2018-12-27,歇業 - 獨資 (核准文號: 1070002698),,五金零售業,-0.8690000000000001,3,25.15165,121.770197,"(25.15165, 121.770197)",11,基隆通訊處,False
92,60381448,隆本行,基隆市仁愛區誠仁里南榮路１４７號１樓,500000,1989-05-29,2008-06-10,核准設立 - 獨資,,五金零售業,-0.7190000000000001,4,25.124570000000002,121.74294599999999,"(25.124570000000002, 121.74294599999999)",11,基隆通訊處,False
93,60390185,德安五金行,基隆市中正區入船里中船路一一二巷一二號一樓,5000000,1991-03-05,2007-09-19,核准設立 - 獨資,,五金零售業,1.53,5,25.138189999999998,121.75168899999998,"(25.138189999999998, 121.75168899999998)",11,基隆通訊處,False
94,16904875,代曜工程企業有限公司,基隆市信義區信二路174巷91號3樓,5000000,1999-04-29,2019-11-26,核准設立,,五金零售業,1.53,6,25.130292999999998,121.753722,"(25.130292999999998, 121.753722)",11,基隆通訊處,False
96,27920867,維洋機械工程有限公司,基隆市中正區正砂里中正路１１９巷２４號１樓,1500000,2005-10-18,2016-06-28,核准設立,,五金零售業,-0.219,8,25.144170000000003,121.76156100000001,"(25.144170000000003, 121.76156100000001)",11,基隆通訊處,False
98,41003115,元泰工程行,基隆市信義區信二路36巷43號,3000000,2015-01-19,2015-03-03,核准設立 - 獨資 (核准文號: 1040000143),,五金零售業,0.53,10,25.130401000000003,121.757534,"(25.130401000000003, 121.757534)",11,基隆通訊處,False
99,42161528,易坤工程行,基隆市中正區新豐街303巷10弄18號1樓,1000000,2016-06-15,2016-06-15,核准設立 - 獨資 (核准文號: 1050001207),,五金零售業,-0.469,11,25.134320000000002,121.78745500000001,"(25.134320000000002, 121.78745500000001)",11,基隆通訊處,False
100,45119881,美思伯有限公司,基隆市信義區深溪路36巷72號,1000000,2016-06-24,2017-12-25,核准設立,,五金零售業,-0.469,12,25.132638,121.783449,"(25.132638, 121.783449)",11,基隆通訊處,False
101,54974958,宏翔車業有限公司,基隆市中正區中正路566號,300000,2019-02-15,,解散 (核准解散日期: 2019-12-30),王鐫凱,五金零售業、汽、機車零件配備零售業,-0.8190000000000001,13,25.150076000000002,121.76481399999999,"(25.150076000000002, 121.76481399999999)",11,基隆通訊處,False
102,28016778,峰泰電機工程有限公司,基隆市信義區正信路12巷1號,10000000,2005-10-26,2018-11-05,核准設立,,電器承裝業,2.935,1,25.130364,121.761299,"(25.130364, 121.761299)",11,基隆通訊處,False
103,29094884,大慶電器工程有限公司,基隆市信義區東明路77巷2號,3000000,2008-05-16,2011-07-11,核准設立,,電器承裝業,0.452,2,25.127529,121.761669,"(25.127529, 121.761669)",11,基隆通訊處,False
104,24395144,泉月工程有限公司,基隆市信義區正信路227巷23弄26號,3000000,2009-04-27,2016-06-30,核准設立,,電器承裝業,0.452,3,25.134605999999998,121.764719,"(25.134605999999998, 121.764719)",11,基隆通訊處,False
