,統一編號,公司名稱,公司地址,資本額總額,核准設立日期,最後核准變更日期,公司狀態,代表人/創辦人/員工,產業別,資本額(標準化),成立順序
92,60381448,隆本行,基隆市仁愛區誠仁里南榮路１４７號１樓,500000,1989-05-29,2008-06-10,核准設立 - 獨資,,五金零售業,-0.719,4
93,60390185,德安五金行,基隆市中正區入船里中船路一一二巷一二號一樓,5000000,1991-03-05,2007-09-19,核准設立 - 獨資,,五金零售業,1.53,5
94,16904875,代曜工程企業有限公司,基隆市信義區信二路174巷91號3樓,5000000,1999-04-29,2019-11-26,核准設立,,五金零售業,1.53,6
95,8722402,潔陞行,基隆市信義區義幸里信二路118、120號1樓,200000,2005-08-09,2020-04-24,核准設立 - 獨資 (核准文號: 1090000868),,五金零售業,-0.869,7
96,27920867,維洋機械工程有限公司,基隆市中正區正砂里中正路１１９巷２４號１樓,1500000,2005-10-18,2016-06-28,核准設立,,五金零售業,-0.219,8
97,26559466,新業企業行,基隆市中正區中正路368號1樓,500000,2011-03-03,2011-03-03,核准設立 - 獨資,,五金零售業,-0.719,9
98,41003115,元泰工程行,基隆市信義區信二路36巷43號,3000000,2015-01-19,2015-03-03,核准設立 - 獨資 (核准文號: 1040000143),,五金零售業,0.53,10
99,42161528,易坤工程行,基隆市中正區新豐街303巷10弄18號1樓,1000000,2016-06-15,2016-06-15,核准設立 - 獨資 (核准文號: 1050001207),,五金零售業,-0.469,11
100,45119881,美思伯有限公司,基隆市信義區深溪路36巷72號,1000000,2016-06-24,2017-12-25,核准設立,,五金零售業,-0.469,12
101,54974958,宏翔車業有限公司,基隆市中正區中正路566號,300000,2019-02-15,,解散 (核准解散日期: 2019-12-30),王鐫凱,五金零售業、汽、機車零件配備零售業,-0.819,13
102,28016778,峰泰電機工程有限公司,基隆市信義區正信路12巷1號,10000000,2005-10-26,2018-11-05,核准設立,,電器承裝業,2.935,1
103,29094884,大慶電器工程有限公司,基隆市信義區東明路77巷2號,3000000,2008-05-16,2011-07-11,核准設立,,電器承裝業,0.452,2
104,24395144,泉月工程有限公司,基隆市信義區正信路227巷23弄26號,3000000,2009-04-27,2016-06-30,核准設立,,電器承裝業,0.452,3
105,25059750,祥惟工程有限公司,基隆市中正區正船里中船路98號,1000000,2009-10-29,,核准設立,陳明煌,電器承裝業,-0.257,4
106,31517804,靖心水電工程行,基隆市中正區正義路50號,200000,2012-07-02,2012-07-02,核准設立 - 獨資,,電器承裝業,-0.541,5
107,41255012,佑霖企業社,基隆市信義區東信路332號1樓,80000,2015-05-11,2019-10-09,歇業 - 獨資 (核准文號: 1080002186),,電器承裝業,-0.584,6
108,42161506,勝豐水電工程行,基隆市中正區中正路119巷1弄20號,200000,2016-06-14,2016-06-14,核准設立 - 獨資 (核准文號: 1050001198),,電器承裝業,-0.541,7
109,56285513,福燿有限公司,基隆市信義區孝忠里深美街200巷6號,100000,2017-03-03,,核准設立,陳福丁,電器承裝業,-0.577,8
110,54987124,東陵興業股份有限公司,基隆市信義區東明路77巷53-3號,1000000,2019-04-15,,核准設立,林佳陵,配管工程業、電器承裝業,-0.257,9
111,82221635,吉榮工程行,基隆市信義區深澳坑路57之17號5樓,200000,2019-07-17,,核准設立 - 獨資 (核准文號: 1080001577),江品騰,電器承裝業,-0.541,10
112,85218140,益源工程行,基隆市信義區東信路3巷101號3樓,200000,2020-03-04,,核准設立 - 獨資 (核准文號: 1090000425),鄭智元,電器承裝業,-0.541,11
113,16183151,珈佳有限公司,基隆市中正區中正里中正路485號,6000000,1997-07-31,2020-02-05,核准設立,,建築物清潔服務業,3.088,1
114,30253023,每冠清潔工程行,基隆市信義區仁義里信一路96巷14號1樓,240000,2009-06-05,2009-08-13,核准設立 - 獨資,,建築物清潔服務業,-0.561,2
115,30256231,勝文環保企業社,基隆市中正區中正里中正路656巷118號1樓,1200000,2009-11-26,2017-06-14,核准設立 - 獨資 (核准文號: 1060001214),,建築物清潔服務業,0.047,3
116,53377551,大禹海事工程有限公司,基隆市信義區東信里正信路227巷23弄38號6樓,1000000,2011-03-31,2016-06-22,核准設立,,建築物清潔服務業,-0.079,4
117,54542684,明泉工程有限公司,基隆市信義區東明路77巷38號1樓,500000,2013-11-22,2016-05-11,核准設立,,建築物清潔服務業,-0.396,5
118,24872764,愛走動有限公司,基隆市信義區東信路242號1樓,500000,2015-02-24,2019-03-29,核准設立,,建築物清潔服務業,-0.396,6
119,42840694,小當家清潔有限公司,基隆市信義區東信路105號6樓,200000,2016-01-08,2019-04-08,核准設立,,建築物清潔服務業,-0.586,7
120,57103054,育瀧工程顧問有限公司,基隆市仁愛區愛一路103之3號,1000000,2017-08-24,,核准設立,歐珮如,建築物清潔服務業,-0.079,8
121,72639295,倍潔環保工程行,基隆市信義區東明路77巷152號4樓,500000,2017-10-17,2019-01-03,歇業 - 獨資 (核准文號: 1080000020),,建築物清潔服務業,-0.396,9
122,72639464,拉法清潔工程行,基隆市信義區東信路236巷41-3號,240000,2017-10-25,2020-02-12,歇業 - 獨資 (核准文號: 1090000261),,建築物清潔服務業,-0.561,10
123,54986666,淞美清潔有限公司,基隆市信義區東信路105號六樓,1000000,2019-04-11,,核准設立,張崑淞,建築物清潔服務業、病媒防治業,-0.079,11
124,5072214,毓記有限公司,基隆市中正區中正路343號1樓,5000000,1980-06-03,2018-07-27,核准設立,,食品什貨批發業,1.93,1
125,28789289,迎美生技有限公司,基隆市信義區深溪路180號2樓,6000000,2007-09-05,2019-05-24,核准設立,,食品什貨批發業,2.456,2
126,24215614,泉利米香食品有限公司,基隆市信義區信二路219號1樓,3000000,2008-08-11,2016-06-20,核准設立,,食品什貨批發業,0.876,3
127,25000251,全德旺實業有限公司,基隆市仁愛區愛九路11號,2000000,2009-07-24,2017-11-07,核准設立,,食品什貨批發業,0.35,4
128,25095658,妮歐麗膚有限公司,基隆市仁愛區愛三路120號3樓,250000,2009-12-24,2016-04-26,核准設立,,食品什貨批發業,-0.572,5
129,72636305,綉瑜企業社,基隆市信義區正信路227巷21弄37號1樓,200000,2017-06-01,2017-06-01,停業 (停業起迄日期 107年09月17日 至 108年09月16日) - 獨資,,食品什貨批發業,-0.598,6
130,42979161,京贊商務訊息諮詢有限公司,基隆市信義區東信里28鄰正信路227巷23弄7號底一層,100000,2018-08-07,,核准設立,張瀞尹,食品什貨批發業,-0.651,7
131,42980603,谷基行銷有限公司,基隆市中正區祥豐街93-1號,500000,2018-08-14,,核准設立,張仁宇,食品什貨批發業,-0.44,8
132,54951977,笙普有限公司,基隆市中正區港通里中正路34號6樓之5,100000,2018-10-15,,核准設立,朱慧英,食品什貨批發業,-0.651,9
133,82216268,彩虹國際企業社,基隆市中正區中正路640巷30-3號4樓,200000,2019-02-22,,核准設立 - 獨資 (核准文號: 1080000347),黎虹妤,食品什貨批發業,-0.598,10
134,54988101,金河馬國際行銷有限公司,基隆市信義區東光路205巷32號五樓,100000,2019-04-18,,核准設立,張育玲,其他綜合零售業、食品什貨批發業,-0.651,11
135,83540263,品鈊有限公司,基隆市信義區東信里花源三街56號,200000,2020-01-17,,核准設立,陳世維,食品什貨批發業、布疋、衣著、鞋、帽、傘、服飾品批發業,-0.598,12
136,83471364,美麗信生物科技有限公司,基隆市信義區東明里東光路261-59號1樓,50000,2020-01-22,,核准設立,陳裕勛,飲料批發業、食品什貨批發業,-0.677,13
137,83559038,禾豊貿易有限公司,基隆市信義區東信里正信路227巷23弄22號5樓,1000000,2020-03-25,,核准設立,張正典,布疋、衣著、鞋、帽、傘、服飾品批發業、食品什貨批發業,-0.177,14
138,23978281,燿福有限公司,基隆市信義區正信路4－11號1樓,3000000,1991-01-28,2009-05-11,核准設立,,燃料導管安裝工程業,-0.246,1
139,89550576,浩鼎實業有限公司,基隆市中正區正義路2巷42-3號4樓,10000000,1995-06-13,2010-04-29,核准設立,,燃料導管安裝工程業,1.338,2
140,18309326,恆隆工程行,基隆市信義區東美一街48號1樓,200000,2001-08-23,2011-12-08,核准設立 - 獨資,,燃料導管安裝工程業,-0.88,3
141,49858613,鴻順工程行,基隆市信義區孝德里福民街五五巷二０號一樓,480000,2005-08-29,2011-07-14,核准設立 - 獨資,,燃料導管安裝工程業,-0.817,4
142,28498851,吉晟工程有限公司,基隆市信義區教忠街194巷73號,2000000,2006-10-14,2016-05-25,解散 (核准解散日期: 2019-03-21),,燃料導管安裝工程業,-0.473,5
143,53400976,榮賢工程有限公司,基隆市中正區港通里中正路34號3樓之3,12000000,2011-05-16,2015-03-27,核准設立,,燃料導管安裝工程業,1.791,6
144,26563742,品逸工程行,基隆市中正區中正路460號2樓,200000,2011-09-26,2011-09-26,核准設立 - 獨資,,燃料導管安裝工程業,-0.88,7
145,37755113,耀發水電工程行,基隆市中正區中正路434-2號1樓,1000000,2012-11-07,2019-02-19,核准設立 - 獨資 (核准文號: 1080000319),,燃料導管安裝工程業,-0.699,8
146,42776222,辰竤有限公司,基隆市中正區新豐街327巷31號1樓,10000000,2016-02-23,,核准設立,林佩伶,燃料導管安裝工程業,1.338,9
147,59055563,上豪國際機械有限公司,基隆市中正區中船路5巷36號,2000000,2018-01-12,,核准設立,張文川,燃料導管安裝工程業,-0.473,10
